   HMIS_code,Activity,Number,Available in DHIS2 Data set ( Yes or No),compulsory data element status,HC,clinic,HP,Hospital,WHO,,,
HEH,Hygiene and Environmental Health,Number,,,,,,,,,,
HEH_HHLW,Number of  Households with Liquid waste management area,,yes,,,,x,,,,,
HEH_HHSW,Number of Households with safe Solid waste management,,yes,,,,x,,,,,
HEH_ODF,Proportion of Kebeles declared 'Open Defecation Free',,yes,,,,x,,,,,
HEH_ODF.1,Number of kebeles that have been declared open defecation free,,Yes,,,,x,,,,,
HEH_ODF.1.1,:NEW,,yes,,,,x,,,,,
HEH_ODF.1.2,:Existing,,yes,,,,x,,,,,
HEH_ODF.1.3,:Drop,,yes,,,,x,,,,,
HEH_HHSF,Number of households having sanitation facilities,SUM,Yes,compulsory data element ,,,x,,,,,
HEH_HHSF.1, Basic sanitation facility,,yes,,,,x,,,,,
HEH_HHSF.2, Limited sanitation facility,,yes,,,,x,,,,,
HEH_HHSF.3, Unimproved sanitation facility,,Yes,,,,x,,,,,
HEH_HHHWF,Number of Households having hand washing facilities at the premises,SUM,Yes,,,,x,,,,,
HEH_HHHWF.1, Basic hand washing Facility,,yes,,,,x,,,,,
HEH_HHHWF.2, Limited hand washing Facility,,Yes,,,,x,,,,,
HEH_HHHH,Households with healthy housing,,Yes,,,,x,,,,,Households with healthy housing
HEH_HHHH.1,Number of HHs  with separate animal house,,yes,,,,x,,,,,
HEH_HHHH.2,Number of HHs  with   separate Kitchen,,Yes,,,,x,,,,,
HEH_HHHH.3,Number of HHs  with smokeless stove ,,Yes,,,,x,,,,,
HEH_HHHH.4,"Number of HHs  with separate animal house,separate Kitchen & smokeless stove ",,,,,,x,,,,,
HEH_WSTST,Proportion of water schemes for which water quality test conducted,,Yes,,,,,,x,,,
HEH_WSTST.1,Number  of  Water schemes tested for water quality ,SUM,,compulsory data element ,,,,,x,,,
HEH_WSTST.1.1,: positive result for microbiological test,,,,,,,,x,,,
HEH_WSTST.1.2,: Nagative result for microbiological test,,,,,,,,x,,,
HEH_WSTST.2,Total number of Water schemes in the Woreda,,,,,,,,x,,,
HEH_HFWATER, Health facilities with water services,,,compulsory data element ,x,,x,x,,,,
HEH_HFWATER.1, : Does the health facility have  basic water service,,,,x,,x,x,,,,
HEH_HFWATER.2, : Does the health facility have limited water services,,,,x,,x,x,,,,
HEH_HFWATER.3, : Does the health facility have no water services,,,,x,,x,x,,,,
HEH_HFSAN, Health facility with sanitation facilities,,,compulsory data element ,x,,x,x,,,,
HEH_HFSAN.1,  : Does the health facility have basic sanitation service,,,,x,,x,x,,,,
HEH_HFSAN.2,  : Does the health facility have limited sanitation service,,,,x,,x,x,,,,
HEH_HFSAN.3,  : Does the health facility have No sanitation service,,,,x,,x,x,,,,
HEH_HFWASTE, Health facilities with healthcare waste management services,,,,x,,x,x,,,,
HEH_HFWASTE.1,  : Does the health facility have basic waste management service,,,,x,,x,x,,,,
HEH_HFWASTE.2,  : Does the health facility have limited waste management service,,,,x,,x,x,,,,
HEH_HFWASTE.3,  : Does the health facility have  No waste management service,,,,x,,x,x,,,,
HEP,Health Extension and Primary Health Care,,,,,,,,,,,
HEPHC_MODEL_H.1,Number of currently model households in the catchment,,,compulsory data element ,,,x,,,,,
