,Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
1,Addis Ababa Central,PM2.5 - Principal,2018-01-04 11:00:00,2018,1,4,11,46.6,128,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
2,Addis Ababa Central,PM2.5 - Principal,2018-01-04 12:00:00,2018,1,4,12,37.7,106,Unhealthy for Sensitive Groups,30.0,UG/M3,1 Hr,Valid
3,Addis Ababa Central,PM2.5 - Principal,2018-01-04 13:00:00,2018,1,4,13,30.4,89,Moderate,25.0,UG/M3,1 Hr,Valid
4,Addis Ababa Central,PM2.5 - Principal,2018-01-04 14:00:00,2018,1,4,14,30.2,89,Moderate,30.0,UG/M3,1 Hr,Valid
5,Addis Ababa Central,PM2.5 - Principal,2018-01-04 15:00:00,2018,1,4,15,30.1,89,Moderate,30.0,UG/M3,1 Hr,Valid
6,Addis Ababa Central,PM2.5 - Principal,2018-01-04 16:00:00,2018,1,4,16,34.5,98,Moderate,39.0,UG/M3,1 Hr,Valid
7,Addis Ababa Central,PM2.5 - Principal,2018-01-04 17:00:00,2018,1,4,17,37.3,105,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
8,Addis Ababa Central,PM2.5 - Principal,2018-01-04 18:00:00,2018,1,4,18,38.1,107,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
9,Addis Ababa Central,PM2.5 - Principal,2018-01-04 19:00:00,2018,1,4,19,30.0,89,Moderate,22.0,UG/M3,1 Hr,Valid
10,Addis Ababa Central,PM2.5 - Principal,2018-01-04 20:00:00,2018,1,4,20,29.5,88,Moderate,29.0,UG/M3,1 Hr,Valid
11,Addis Ababa Central,PM2.5 - Principal,2018-01-04 21:00:00,2018,1,4,21,49.7,136,Unhealthy for Sensitive Groups,70.0,UG/M3,1 Hr,Valid
12,Addis Ababa Central,PM2.5 - Principal,2018-01-04 22:00:00,2018,1,4,22,54.8,149,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
