,Time,ConcRT(ug/m3),ConcHR(ug/m3),Flow(lpm),AT(C),RH(%),BP(mmHg),FT(C),FRH(%),Status,YYYY,Timestamp,Month,DD,hr
3,1/2/18 12:00,34,35,16.6,21.8,24,572,29.9,10,0,2018,2018-01-02 12:00:00,1,2,12
4,1/2/18 13:00,25,14,16.6,22.7,23,572,31.1,9,0,2018,2018-01-02 13:00:00,1,2,13
7,1/4/18 12:00,33,42,16.6,21.7,38,573,28.9,16,0,2018,2018-01-04 12:00:00,1,4,12
8,1/4/18 13:00,33,37,16.6,22.2,33,573,30.6,13,0,2018,2018-01-04 13:00:00,1,4,13
9,1/4/18 14:00,39,42,16.6,23.7,29,572,31.9,12,0,2018,2018-01-04 14:00:00,1,4,14
10,1/4/18 15:00,34,43,16.6,23.2,31,572,32.4,12,0,2018,2018-01-04 15:00:00,1,4,15
11,1/4/18 16:00,38,40,16.6,23.1,30,572,30.9,13,0,2018,2018-01-04 16:00:00,1,4,16
12,1/4/18 17:00,43,41,16.6,22.3,31,572,30.2,13,0,2018,2018-01-04 17:00:00,1,4,17
13,1/4/18 18:00,27,24,16.6,19.6,36,572,27.8,14,0,2018,2018-01-04 18:00:00,1,4,18
14,1/4/18 19:00,28,44,16.6,17.9,41,573,25.5,17,0,2018,2018-01-04 19:00:00,1,4,19
15,1/4/18 20:00,36,33,16.6,17.1,45,573,24.2,19,0,2018,2018-01-04 20:00:00,1,4,20
16,1/4/18 21:00,41,57,16.6,16.0,50,574,23.4,20,0,2018,2018-01-04 21:00:00,1,4,21
17,1/4/18 22:00,101,158,16.6,15.1,54,574,22.6,21,0,2018,2018-01-04 22:00:00,1,4,22
18,1/4/18 23:00,136,136,16.6,14.5,56,574,22.1,21,0,2018,2018-01-04 23:00:00,1,4,23
19,1/5/18 0:00,112,103,16.6,14.0,57,573,21.6,22,0,2018,2018-01-05 00:00:00,1,5,0
20,1/5/18 1:00,97,101,16.6,13.3,59,573,21.1,23,0,2018,2018-01-05 01:00:00,1,5,1
21,1/5/18 2:00,78,66,16.6,13.2,58,573,20.7,23,0,2018,2018-01-05 02:00:00,1,5,2
22,1/5/18 3:00,57,55,16.6,13.6,56,572,20.9,23,0,2018,2018-01-05 03:00:00,1,5,3
23,1/5/18 4:00,53,67,16.6,14.1,54,573,21.4,22,0,2018,2018-01-05 04:00:00,1,5,4
24,1/5/18 5:00,81,101,16.6,14.1,55,573,21.8,21,0,2018,2018-01-05 05:00:00,1,5,5
25,1/5/18 6:00,90,97,16.6,14.0,58,573,21.9,22,0,2018,2018-01-05 06:00:00,1,5,6
26,1/5/18 7:00,82,98,16.6,14.0,58,574,21.8,22,0,2018,2018-01-05 07:00:00,1,5,7
27,1/5/18 8:00,115,132,16.6,14.6,57,574,22.1,21,0,2018,2018-01-05 08:00:00,1,5,8
30,1/5/18 12:00,40,41,16.6,21.6,35,573,29.1,15,0,2018,2018-01-05 12:00:00,1,5,12
31,1/5/18 13:00,33,25,16.6,22.6,31,572,31.0,13,0,2018,2018-01-05 13:00:00,1,5,13
32,1/5/18 14:00,20,31,16.6,23.1,29,571,32.0,12,0,2018,2018-01-05 14:00:00,1,5,14
33,1/5/18 15:00,26,25,16.6,23.1,29,571,32.2,11,0,2018,2018-01-05 15:00:00,1,5,15
34,1/5/18 16:00,25,24,16.6,22.1,31,571,31.3,12,0,2018,2018-01-05 16:00:00,1,5,16
35,1/5/18 17:00,20,21,16.6,20.4,35,572,29.3,14,0,2018,2018-01-05 17:00:00,1,5,17
36,1/5/18 18:00,21,24,16.7,18.2,39,572,26.6,15,0,2018,2018-01-05 18:00:00,1,5,18
37,1/5/18 19:00,21,26,16.6,17.0,41,572,24.8,17,0,2018,2018-01-05 19:00:00,1,5,19
38,1/5/18 20:00,22,38,16.6,16.5,44,573,24.0,18,0,2018,2018-01-05 20:00:00,1,5,20
39,1/5/18 21:00,36,30,16.6,15.9,46,573,23.6,19,0,2018,2018-01-05 21:00:00,1,5,21
40,1/5/18 22:00,26,27,16.6,15.5,47,573,23.1,19,0,2018,2018-01-05 22:00:00,1,5,22
41,1/5/18 23:00,26,31,16.6,14.7,51,573,22.6,20,0,2018,2018-01-05 23:00:00,1,5,23
42,1/6/18 0:00,41,43,16.6,14.1,55,573,22.1,22,0,2018,2018-01-06 00:00:00,1,6,0
43,1/6/18 1:00,34,25,16.6,13.9,56,572,22.1,22,0,2018,2018-01-06 01:00:00,1,6,1
44,1/6/18 2:00,15,25,16.6,13.8,57,572,21.9,22,0,2018,2018-01-06 02:00:00,1,6,2
45,1/6/18 3:00,29,31,16.6,14.0,56,572,22.0,22,0,2018,2018-01-06 03:00:00,1,6,3
46,1/6/18 4:00,34,34,16.6,14.0,57,572,22.2,22,0,2018,2018-01-06 04:00:00,1,6,4
